,iso_a3,labels,average_temperature_celsius,comorbidity_mortality_rate,average_new_fully_vaccinated_per_day_per_1000,average_new_vaccinated_per_day_per_1000,average_new_tested_per_day_per_1000,diabetes_prevalence,gdp_per_capita_usd,gdp_usd,human_capital_index,latitude,population_density,smoking_prevalence,total_cases_divided_by_population,total_deaths_divided_by_population,population
82,KWT,3,28.1218035792683,17.4,12.6583455846646,12.6936156300473,2.6339732678075,12.2,32031.0,134761198945.0,0.576,29.166667,239.65,22.5,0.154018334350764,0.0006001550615223,4270563
83,KGZ,5,11.0966530823171,24.9,0.519029285453691,0.61418423776709,,6.1,1309.0,8454619607.0,0.58,41.0,34.016,26.5,0.0315625339601492,0.0004584476450796,6524191
84,LVA,1,8.34278706097561,21.9,1.21682763734792,1.22364513957722,4.47712466805413,5.0,17818.0,34398215400.0,0.724,57.0,30.4,37.0,0.475008958482641,0.0031068226137102,1919968
85,LBN,1,19.7600766385787,17.9,0.883276500665089,0.979827394402451,2.48536494570085,11.2,7784.0,53367042272.0,0.538,33.833333,667.199,33.8,0.177746730541407,0.0015603385099455,6825442
86,LBR,5,26.1604556068111,17.6,24.2993143558462,23.6397269830153,,2.4,621.0,3070518100.0,0.319,6.533333,52.509,9.8,0.0015677157714895,5.8129453502e-05,5057677
87,LBY,2,25.1336111057143,20.1,1.84129472631969,3.07576288711044,0.50567329174134,10.2,7683.0,52076250947.0,,27.0,3.905,,0.0737720604597072,0.0009367968475192,6871287
88,LIE,4,9.13301295025381,,1.08413604300998,1.09417051617413,3.41105536397469,9.4,173356.0,6552858738.0,,47.145,242.1,,0.505237375579759,0.002240867163479,38378
89,LTU,1,8.66382802642276,20.7,1.14853157380063,1.15881605278387,3.79576495085172,3.8,19116.0,53411968400.0,0.712,55.2,44.7,28.8,0.441047189447796,0.0033286998995055,2794184
90,LUX,4,9.61880080749747,10.0,1.38238609940819,1.4060808344985,6.59904925815046,5.0,116348.0,70862634400.0,0.692,49.77,235.1,23.5,0.46999481995263,0.0018341928736882,613894
91,MWI,2,19.2713555297419,16.4,0.570390960044509,0.605764723879222,0.0209171548374908,4.5,411.0,7666704427.0,0.407,-13.0,202.906,14.5,0.0045918560707539,0.0001398330524039,19129955
92,MYS,0,26.7104638628049,17.2,1.48271597036299,1.50310903435767,2.03026604936071,16.7,11414.0,364701517787.0,0.622,3.780511,98.512,21.5,0.147409065575678,0.0011115772582788,32655400
93,MDV,3,28.9004441361789,13.4,2.42789036250424,2.09878507402104,5.82699146085525,9.2,10790.0,5729248472.0,,4.18,1801.807,28.3,0.342186176097325,0.0005697984615441,540542
94,MLI,1,29.6888548396323,24.6,1.39575690459516,1.75474891711907,0.0298753127895868,2.4,890.0,17510141171.0,0.317,17.0,16.596,12.3,0.001599193396183,3.64923242173e-05,20250834
95,MLT,4,19.0856463953252,10.8,1.62328314715351,1.595204834078,5.30202721024892,8.3,30090.0,14606972200.0,0.701,35.883333,1548.3,25.5,0.231680508308024,0.0016269584791281,493559
96,MRT,2,29.7678063333333,18.1,4.12010945060673,5.45854257915796,0.123066028456579,7.1,1677.0,7593752450.0,0.353,21.0,4.511,,0.0135016323774211,0.0002135640025292,4649660
97,MUS,0,23.1574215315041,22.6,18.1461810895504,17.4685744493599,,22.0,11203.0,14180444557.0,0.626,-20.2,626.486,21.6,0.205184597493094,0.0008051789360787,1271767
98,MEX,4,19.4602863404472,15.7,1.82349887352485,2.11254257574306,0.156034911623801,13.5,9863.0,1258286717124.0,0.607,23.0,66.325,14.0,0.0268125744214988,0.0002158174475946,110991953
99,MDA,1,11.6580831329949,24.9,1.01017574603723,0.942208569350352,1.28480812071222,5.7,4498.0,11955435456.0,0.58,47.25,122.799,24.2,0.144568257071272,0.0029271463322792,4033963
100,MCO,5,15.2679242245935,,20.5005029846712,22.6298786189415,,2.9,185829.0,7188238072.0,,43.731111,26338.255,,0.368744266639486,0.0016053409438385,39244
101,MNE,1,15.5634599613821,20.6,0.970957897430781,0.972261418232942,,9.0,8832.0,5494736901.0,0.615,42.766667,45.7,45.9,0.446501184540858,0.0044649314830708,622182
102,MAR,0,20.4556389349593,12.4,2.74244877726239,2.64367120405887,0.407074998148576,7.0,3204.0,118725279596.0,0.5,32.0,82.703,23.4,0.0342642070054861,0.0004409578419269,36910558
103,NPL,1,22.6729594253807,21.8,3.02725494792494,3.34471273405284,0.305212596840853,7.2,1071.0,30641380604.0,0.49,28.0,203.256,22.8,0.0342906813951618,0.0004123650058029,29136808
104,NLD,4,11.3201101847716,11.2,8.32055389563788,8.57233486179323,2.36755441626915,5.4,52982.0,913366020000.0,0.8,52.316667,504.0,25.8,0.486123872341674,0.0013088639425516,17282163
