iso_3166_1_alpha_3,average_temperature_celsius,comorbidity_mortality_rate,average_new_fully_vaccinated_per_day_per_1000,average_new_vaccinated_per_day_per_1000,average_new_tested_per_day_per_1000,diabetes_prevalence,gdp_per_capita_usd,gdp_usd,human_capital_index,latitude,population_density,smoking_prevalence,total_cases_divided_by_population,total_deaths_divided_by_population,population,international_travel_controls,stay_at_home_requirements,testing_policy,public_information_campaigns,vaccination_policy,facial_coverings,cancel_public_events
IRQ,26.45008094410569,21.3,2.8374326130585352,3.5412980588222416,0.6501236284968519,8.8,5955.0,234094042938.0,0.398,33.0,92.61,,0.061122725256556015,0.0006301944958522348,40222503.0,3.0,2.0,3.0,2.0,5.0,4.0,2.0
ISL,3.293784716751269,9.1,5.796724767371087,6.057228015621747,4.570349488374428,5.8,66944.0,24188035738.0,0.74,65.0,3.5,14.7,0.5750397068833668,0.0005966536971520291,356991.0,3.0,0.0,3.0,2.0,5.0,2.0,1.0
ISR,21.625882881218274,9.6,1.1266183458291865,1.2299390227218356,7.005031215797324,9.7,43641.0,395098666121.0,0.763,31.0,399.979,25.2,0.5368667308028464,0.0013479226775079687,8655541.0,4.0,0.0,2.0,2.0,5.0,2.0,2.0
ITA,16.332794087398373,9.5,1.2277285115131282,1.2911310322746505,4.337282907907571,5.0,34456.0,2083196780000.0,0.769,42.5,202.9,23.7,0.3663782196108632,0.0029235475031571642,60359546.0,3.0,2.0,3.0,2.0,5.0,4.0,2.0
JAM,27.33280638821138,14.7,0.8772030863385423,0.9804437341474335,0.4106527171513765,11.3,5582.0,16458071067.0,0.544,18.18,273.422,16.8,0.05096278115239259,0.001109699877851964,2961161.0,2.0,2.0,3.0,2.0,0.0,3.0,2.0
JEY,12.33861721928934,,6.522964239551917,3.775613959500215,,,,,,49.19,,,0.5618009478672986,0.0012985781990521327,105500.0,[],[],[],[],[],[],[]
JOR,21.237732264227642,19.2,2.113407758601297,2.2185838013357224,2.736872905495188,12.7,4330.0,43743661971.0,0.562,31.2,114.926,,0.17075684544169736,0.0013832996508917842,10203140.0,3.0,0.0,3.0,2.0,0.0,2.0,2.0
JPN,17.113576174796748,8.4,1.4964450391231163,1.4788525207221899,0.48850195137340713,5.6,40246.0,5081769542379.0,0.844,35.0,346.934,22.1,0.15657466467000522,0.0003413204376738634,126476458.0,4.0,1.0,1.0,2.0,0.0,1.0,1.0
KAZ,6.699074272634792,26.8,1.3071352743420053,1.3319878943801662,1.4241152621350417,6.1,9731.0,180161741180.0,0.746,48.0,6.955,24.0,0.07893258386574387,0.0010143951226378512,18776707.0,3.0,0.0,1.0,2.0,5.0,3.0,2.0
KEN,21.79735345194274,13.4,0.7398520173564056,0.9036903794067643,0.06169769407455845,3.1,1816.0,95503088538.0,0.518,0.1,94.478,10.7,0.006291609092582846,0.00010553957222533211,53771300.0,1.0,2.0,3.0,2.0,0.0,3.0,2.0
KGZ,11.096653082317072,24.9,0.5190292854536908,0.6141842377670901,,6.1,1309.0,8454619607.0,0.58,41.0,34.016,26.5,0.031562533960149235,0.0004584476450796735,6524191.0,1.0,0.0,3.0,2.0,0.0,3.0,2.0
KHM,28.012250301829265,21.1,2.028219359564988,2.0672026489520294,0.3616657535492476,6.4,1643.0,27089389786.0,0.493,12.6,94.714,17.2,0.008238485490524507,0.0001827863688500925,16718971.0,2.0,0.0,1.0,2.0,0.0,3.0,2.0
KIR,28.27875636788618,28.4,27.565003531007367,36.472768579855945,,22.5,1655.0,194647201.0,0.479,1.466667,147.464,47.0,0.028715905095189457,0.00010883579190596588,119446.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0
KNA,27.141183998987856,,7.638708486580347,8.58542028266799,4.738464188163149,13.3,19896.0,1050992592.0,,17.271667,204.585,,0.12287562039404422,0.0008647916979996992,53192.0,[],[],[],[],[],[],[]
KOR,13.85902794207317,7.8,1.541774250521805,1.5559188201938718,2.2767695832881794,6.9,31761.0,1642383217167.0,0.845,36.0,527.298,23.3,0.4732759248377334,0.000539602903365946,51269183.0,2.0,0.0,3.0,2.0,0.0,3.0,2.0
KWT,28.121803579268292,17.4,12.65834558466459,12.693615630047288,2.6339732678075007,12.2,32031.0,134761198945.0,0.576,29.166667,239.65,22.5,0.1540183343507636,0.0006001550615223332,4270563.0,4.0,0.0,3.0,2.0,5.0,3.0,2.0
LAO,27.34468594512195,27.0,5.619221490415476,6.27949967844382,0.5283675791166698,6.4,2534.0,18173839128.0,0.452,18.2,31.523000000000003,28.9,0.029572585242969747,0.00010404703090732859,7275556.0,4.0,0.0,2.0,2.0,0.0,3.0,2.0
LBN,19.76007663857868,17.9,0.8832765006650889,0.9798273944024506,2.485364945700848,11.2,7784.0,53367042272.0,0.538,33.833333,667.199,33.8,0.1777467305414067,0.001560338509945583,6825442.0,2.0,2.0,2.0,2.0,0.0,3.0,2.0
LBR,26.160455606811144,17.6,24.29931435584624,23.639726983015297,,2.4,621.0,3070518100.0,0.319,6.533333,52.509,9.8,0.0015677157714895594,5.81294535020722e-05,5057677.0,2.0,0.0,3.0,2.0,0.0,3.0,1.0
LBY,25.133611105714284,20.1,1.8412947263196882,3.0757628871104354,0.5056732917413396,10.2,7683.0,52076250947.0,,27.0,3.905,,0.07377206045970719,0.0009367968475192493,6871287.0,2.0,0.0,1.0,2.0,0.0,3.0,2.0
LCA,27.328265248987854,18.8,1.097321229217607,1.555232094525997,1.215183098219002,11.6,11611.0,2122450629.0,,13.883333,301.031,,0.1577038485206585,0.002140184829193646,183629.0,[],[],[],[],[],[],[]
LIE,9.133012950253807,,1.0841360430099818,1.0941705161741253,3.411055363974691,9.4,173356.0,6552858738.0,,47.145,242.1,,0.5052373755797592,0.0022408671634790767,38378.0,3.0,1.0,3.0,2.0,0.0,2.0,2.0
LKA,25.698068049847407,17.4,2.170270113501524,2.1032991746993837,0.42758600176904266,10.7,3853.0,84008783756.0,0.584,7.0,341.465,13.0,0.031313275658762685,0.0007816188574831005,21413250.0,2.0,1.0,3.0,2.0,5.0,3.0,2.0
LSO,13.82761355747711,26.6,25.456243009692603,22.707240594919444,0.25813956527990173,4.5,1157.0,2460072443.0,0.371,-29.55,70.562,26.7,0.016005119845844466,0.00032862613735452223,2142252.0,1.0,2.0,1.0,2.0,0.0,4.0,2.0
LTU,8.663828026422763,20.7,1.1485315738006328,1.1588160527838685,3.7957649508517184,3.8,19116.0,53411968400.0,0.712,55.2,44.7,28.8,0.44104718944779586,0.0033286998995055443,2794184.0,2.0,0.0,2.0,2.0,5.0,2.0,2.0
