country_name,iso_3166_1_alpha_3,average_temperature_celsius,comorbidity_mortality_rate,cumulative_persons_fully_vaccinated,cumulative_persons_vaccinated,cumulative_tested,diabetes_prevalence,elevation_m,gdp_per_capita_usd,gdp_usd,human_capital_index,international_travel_controls,latitude,population_density,smoking_prevalence,stay_at_home_requirements,testing_policy
Guatemala,GTM,23.975979,14.9,2140413.2,3305763.8,1220972.8,10.0,1271.0,4619.0,76710390000.0,0.46,,14.935718,167.185,,,
Guernsey,GGY,11.887654,,12690.125,25234.25,,,,,,,,49.4558,,,,
Guinea,GIN,27.831247,22.4,529658.5,997992.1,,2.4,,1064.0,13590282000.0,0.374,1,10.0,53.446,,2,2
Guinea-Bissau,GNB,28.105188,20.0,52136.97,271127.5,,2.4,,697.0,1340389400.0,,,12.0,69.986,,,
Guyana,GUY,27.613253,30.5,199083.64,307907.28,289503.0,11.6,,5468.0,4280443600.0,0.495,3,5.733333,3.996,,2,1
Haiti,HTI,27.266682,26.5,24657.21,52751.395,154529.5,6.7,193.0,754.0,8498982000.0,0.446,,19.018026,413.735,12.7,,
Heard Island and McDonald Islands,HMD,,,,,,,2745.0,,,,,-53.09354,,,,
Honduras,HND,26.255777,14.0,1667969.0,2014656.0,,7.3,,2574.0,25095395000.0,0.49,,14.719488,88.521,2.0,,
Hong Kong,HKG,23.433376,,2815832.2,3236511.8,12014646.0,4.5,7.0,48755.0,366029570000.0,0.822,3,22.278334,7139.989,,1,3
Hungary,HUN,10.987753,23.0,3732881.2,4381435.0,3370057.8,6.9,,16166.0,157863000000.0,0.703,4,47.0,107.1,30.6,0,2
Iceland,ISL,1.1352811,9.1,150608.42,181509.02,354108.56,5.8,,66944.0,24188035000.0,0.74,3,65.0,3.5,14.7,0,3
India,IND,24.982656,23.3,11213444.0,24053396.0,1026905.3,10.4,501.68353,2104.0,2875142400000.0,0.44,,23.005444,464.149,11.5,,
Indonesia,IDN,27.261488,26.4,49574940.0,75565210.0,25821486.0,6.3,305.48404,4135.0,1119190800000.0,0.535,,-3.1869442,150.987,39.4,,
Iran,IRN,17.693361,14.8,34903100.0,41440644.0,16940254.0,9.6,,5520.0,445345270000.0,0.591,3,32.0,51.575,11.0,2,2
Iraq,IRQ,23.867325,21.3,4317559.5,5662280.0,7661751.0,8.8,34.0,5955.0,234094030000.0,0.398,,33.364166,92.61,,,
Ireland,IRL,9.591909,10.3,2222723.2,2546501.8,4271229.5,3.2,,78706.0,382365070000.0,0.806,3,53.333332,70.9,24.3,0,2
Isle of Man,IMN,9.87269,,40710.46,53471.734,,,,80989.0,6770533000.0,,,54.235,149.179,,,
Israel,ISR,20.050629,9.6,29182.215,33113.273,14444938.0,9.7,215.16306,43641.0,395098650000.0,0.763,,32.181946,399.979,25.2,,
Italy,ITA,13.903801,9.5,2434376.2,2965753.0,4955696.5,5.0,496.26086,34187.816,189303690000.0,0.769,,42.909374,245.57236,23.7,,
Ivory Coast,CIV,26.66035,29.1,1453438.0,811280.94,515350.12,2.4,,2286.0,58792206000.0,0.353,1,8.0,82.951,,1,2
Jamaica,JAM,27.263807,14.7,444484.38,582850.94,319535.44,11.3,,5582.0,16458071000.0,0.544,2,18.18,273.422,16.8,2,3
Japan,JPN,15.011204,8.4,45773252.0,49760350.0,11048982.0,5.6,1148.0,40246.0,5081769400000.0,0.844,,35.383835,346.934,22.1,,
Jersey,JEY,11.731473,,63980.49,72711.664,,,,,,,,49.19,,,,
Jordan,JOR,20.614132,19.2,2721787.2,3246075.0,6885319.5,12.7,,4330.0,43743662000.0,0.562,3,31.2,114.926,,2,2
Kazakhstan,KAZ,4.5205426,26.8,5540246.0,6445852.0,4408522.0,6.1,,9731.0,180161740000.0,0.746,3,48.0,6.955,24.0,2,1
